Market Name,Chain Name,Chain ID,Token Name,Token Symbol,Token Address,Supply APY (%),Borrow APY (%),Incentive Supply APR (%),Incentive Borrow APR (%),Self Incentive Supply APR (%),Self Incentive Borrow APR (%),Multiple,Merkl Supply APR (%),Merkl Borrow APR (%),Merkl Supply Campaigns,Merkl Borrow Campaigns
"AaveV3Arbitrum","Arbitrum",42161,"Aave Token","AAVE","0xba5DdD1f9d7F570dc94a51479a000E3BCE967196",0,,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Arbitrum","ARB","0x912CE59144191C1204E64559FE8253a0e49E6548",0.28,2.37,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Dai Stablecoin","DAI","0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1",3.88,6.24,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"STASIS EURS Token","EURS","0xD22a58f79e9481D1a88e00c343885A588b34b68B",2.30,4.52,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Frax","FRAX","0x17FC002b466eEc40DaE837Fc4bE5c67993ddBd6F",3.65,5.37,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Gho Token","GHO","0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33",5.42,6.73,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"ChainLink Token","LINK","0xf97f4df75117a78c1A5a0DBb814Af92458539FB4",0.02,0.67,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"LUSD Stablecoin","LUSD","0x93b346b6BC2548dA6A1E7d98E9a421B42541425b",2.79,8.07,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Mai Stablecoin","MAI","0x3F56e0c36d275367b8C502090EDF38289b3dEa0d",0.01,1.63,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"USD Coin (Arb1)","USDC","0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8",2.17,7.15,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"USD Coin","USDC","0xaf88d065e77c8cC2239327C5EDb3A432268e5831",4.75,6.29,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"USD₮0","USD₮0","0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9",5.17,6.57,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Wrapped BTC","WBTC","0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f",0.01,0.28,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Wrapped Ether","WETH","0x82aF49447D8a07e3bd95BD0d56f35241523fBab1",1.92,2.55,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Renzo Restaked ETH","ezETH","0x2416092f143378750bb29b79eD961ab195CcEea5",0,0,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Rocket Pool ETH","rETH","0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8",0.00,0.28,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"KelpDao Restaked ETH","rsETH","0x4186BFC76E2E237523CBC30FD220FE055156b41F",0,0,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Arbitrum tBTC v2","tBTC","0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40",0,0,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Wrapped eETH","weETH","0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe",0.01,1.28,0,0,0,0,false,0,0,"",""
"AaveV3Arbitrum","Arbitrum",42161,"Wrapped liquid staked Ether 2.0","wstETH","0x5979D7b546E38E414F7E9822514be443A4800529",0.01,0.07,0,0,0,0,false,0,0,"",""
"AaveV3Avalanche","Avalanche",43114,"Aave Token","AAVE.e","0x63a72806098Bd3D9520cC43356dD78afe5D386D9",0,,0,0,0,0,false,0,0,"",""
"AaveV3Avalanche","Avalanche",43114,"AUSD","AUSD","0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a",4.92,6.40,0,0,0,0,false,0,0,"",""
"AaveV3Avalanche","Avalanche",43114,"Bitcoin","BTC.b","0x152b9d0FdC40C096757F570A51E494bd4b943E50",0.01,0.37,0.6915400660062929,0,0,0,false,0,0,"",""
"AaveV3Avalanche","Avalanche",43114,"Dai Stablecoin","DAI.e","0xd586E7F844cEa2F87f50152665BCbc2C279D8d70",3.26,5.71,0,0,0,0,false,0,0,"",""
