Market Name,Chain Name,Chain ID,Token Symbol,Token Name,Supply APY (%),Borrow APY (%),Incentive Supply APR (%),Incentive Borrow APR (%),Can Borrow,Can Be Collateral,Has Incentives,Total Supply,Available Liquidity,Utilization Rate (%),Status
"AaveV3Ethereum","Ethereum",1,"1INCH","1INCH Token",0.11,1.69,0,0,true,true,false,4663283.243500443433741045,4272718.628433375280033024,8.38,"Active"
"AaveV3Ethereum","Ethereum",1,"AAVE","Aave Token",0,0,0,0,false,true,false,1620853.599755324763156117,0,0,"Active"
"AaveV3Ethereum","Ethereum",1,"BAL","Balancer",0.27,6.90,0,0,true,true,false,8241070.556799964367638372,7826521.861864601937606958,5.03,"Active"
"AaveV3Ethereum","Ethereum",1,"cbBTC","Coinbase Wrapped BTC",0.00,0.13,0,0,true,true,false,16151.72920039,15724.48685404,2.65,"Active"
"AaveV3Ethereum","Ethereum",1,"cbETH","Coinbase Wrapped Staked ETH",0.00,0.06,0,0,true,true,false,8453.829897950592633741,8419.344478028338845852,0.41,"Active"
"AaveV3Ethereum","Ethereum",1,"CRV","Curve DAO Token",1.06,7.98,0,0,true,true,false,16390663.9102054902186677,12938294.798086382741203322,21.06,"Active"
"AaveV3Ethereum","Ethereum",1,"crvUSD","Curve.Fi USD Stablecoin",2.52,4.73,0,0,true,false,false,305961.401209886034098734,100194.1993491667581963,67.25,"Active"
"AaveV3Ethereum","Ethereum",1,"DAI","Dai Stablecoin",4.04,6.30,0,0,true,true,false,156732637.475024931204202543,21208329.719524633046744178,86.47,"Active"
"AaveV3Ethereum","Ethereum",1,"eBTC","ether.fi BTC",0,0,0,0,true,true,false,759.83787629,759.83787629,0,"Active"
"AaveV3Ethereum","Ethereum",1,"ENS","Ethereum Name Service",0.04,1.05,0,0,true,true,false,39324.264633248472072067,37279.990412933349620256,5.20,"Active"
"AaveV3Ethereum","Ethereum",1,"ETHx","ETHx",0.00,0.00,0.30,0,true,true,true,19293.40674280826989393,19288.982852395327120052,0.02,"Active"
"AaveV3Ethereum","Ethereum",1,"EURC","Euro Coin",3.81,5.40,0,0,true,true,true,28151444.40926,5934968.611534,78.92,"Active"
"AaveV3Ethereum","Ethereum",1,"eUSDe","Ethereal Pre-deposit Vault",0,0,0,0,true,true,false,63727162.609582100592156307,63727162.609582100592156307,0,"Active"
"AaveV3Ethereum","Ethereum",1,"ezETH","Renzo Restaked ETH",0,0,0,0,false,true,false,49355.804522104608451116,0,0,"Active"
"AaveV3Ethereum","Ethereum",1,"FBTC","Fire Bitcoin",0.00,0.03,0,0,true,true,false,752.1766914,749.84862334,0.31,"Active"
"AaveV3Ethereum","Ethereum",1,"FRAX","Frax",2.87,4.76,0,0,true,false,false,291748.617892927829735246,69598.089265376072088129,76.14,"Active"
"AaveV3Ethereum","Ethereum",1,"FXS","Frax Share",0.00,0.24,0,0,true,false,false,466.440778376675874484,460.926197123770564653,1.18,"Frozen"
"AaveV3Ethereum","Ethereum",1,"GHO","Gho Token",0,5.92,0,0,true,false,false,211144642.136849643603411494,45891910.166331926575931311,78.27,"Active"
"AaveV3Ethereum","Ethereum",1,"KNC","Kyber Network Crystal v2",0.51,3.65,0,0,true,false,false,57919.695729333032806072,47441.987466095667930322,18.09,"Frozen"
"AaveV3Ethereum","Ethereum",1,"LBTC","Lombard Staked Bitcoin",0.00,0.00,0,0,true,true,false,1493.57792494,1493.49153638,0.01,"Active"
"AaveV3Ethereum","Ethereum",1,"LDO","Lido DAO Token",0.12,1.55,0,0,true,true,false,2449569.924391898833253857,2207031.318666013158506032,9.90,"Active"
"AaveV3Ethereum","Ethereum",1,"LINK","ChainLink Token",0.02,0.57,0,0,true,true,false,15135558.969960951005173382,14579111.352218477124974394,3.68,"Active"
"AaveV3Ethereum","Ethereum",1,"LUSD","LUSD Stablecoin",3.25,5.87,0,0,true,false,false,2779543.322311299357814816,829161.568298011856893403,70.17,"Active"
